EncounterCode,RecoverDate,RecoverYear,RecoverMonth,RecoverSeason,RecoverVessel,RecoverProjectName,RecoverMethod,SpeciesCode,CommonName,TagCode,RecoverLength,SexDescription,RecoverTagTypeCode,RecoverMortality,RecoverLatitude,RecoverLongitude,RecoverPunchCardArea,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseSeason,ReleaseVessel,ReleaseProjectName,ReleaseMethod,ReleaseLengthCM,ReleaseTagTypeCode,ReleaseLatitude,ReleaseLongitude,ReleasePunchCardArea,DaysAtLiberty,GrowthCM,MovementMiles
DOCK6539,7/21/1989,1989,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37377,35,Male,1SPG,Y,47.1743333,-124.3045,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,36,1SPG,47.1858333,-124.3848333,PCA 2,386,-1,0.961507942
DOCK6492,9/10/1988,1988,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37398,41,Male,1SPG,Y,47.1916666,-124.2916666,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,40,1SPG,47.1858333,-124.3848333,PCA 2,72,1,0.487693951
PUBTAG2003,6/27/1988,1988,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,374,,,1SPG,Y,,,,6/8/1982,1982,6,Spring,Corliss,,At Sea,41,1SPGOTC,47.449,-124.4135,PCA 2,2211,,
PUBTAG2127,7/17/1989,1989,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,37400,44,Male,1SPG,Y,47.1738333,-124.3076666,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,43,1SPG,47.1858333,-124.3848333,PCA 2,382,1,1.003314099
DOCK6466,8/8/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37452,,Unable to determine,1SPG,Y,47.3333333,-124.3,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,42,1SPG,47.3296666,-124.3108333,PCA 2,39,,0.30629943
PUBTAG2136,8/5/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,37497,,Unable to determine,1SPG,Y,47.3303333,-124.331,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,43,1SPG,47.3296666,-124.3108333,PCA 2,401,,0.055693572
DOCK6462,8/7/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37583,42,Female,1SPG,Y,47.3305,-124.337,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,42,1SPG,47.3296666,-124.3108333,PCA 2,38,0,0.06961902
PUBTAG2139,8/5/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,37608,47,Male,1SPG,Y,47.3303333,-124.328,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,45,1SPG,47.3296666,-124.3108333,PCA 2,401,2,0.055693572
DOCK6553,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37691,42,Female,1SPG,Y,47.3293333,-124.331,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,42,1SPG,47.3316666,-124.3176666,PCA 2,401,0,0.194914402
DOCK6517,6/9/1989,1989,6,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37718,44,Female,1SPG,Y,47.1166666,-124.2601666,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,45,1SPG,47.3316666,-124.3176666,PCA 2,344,-1,17.97137383
PUBTAG2101,6/29/1989,1989,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,37760,40,Male,1SPG,Y,47.011,-124.2586666,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,39,1SPG,47.3316666,-124.3176666,PCA 2,364,1,26.8120513
DOCK6557,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37801,49,Unable to determine,1SPG,Y,47.3286666,-124.3323333,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,49,1SPG,47.3316666,-124.3176666,PCA 2,401,0,0.2506083
DOCK6554,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37813,46,Female,1SPG,Y,47.3293333,-124.331,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,46,1SPG,47.3316666,-124.3176666,PCA 2,401,0,0.194914402
DOCK6448,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37824,43,Female,1SPG,Y,47.3293333,-124.3408333,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,43,1SPG,47.3316666,-124.3176666,PCA 2,37,0,0.194914402
DOCK6551,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37826,40,Male,1SPG,Y,47.3293333,-124.331,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,46,1SPG,47.3316666,-124.3176666,PCA 2,401,-6,0.194914402
PUBTAG2150,8/12/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,37837,39,Male,1SPG,Y,47.2326666,-124.286,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,39,1SPG,47.3316666,-124.3176666,PCA 2,408,0,8.272393051
DOCK6556,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,37931,40,Male,1SPG,Y,47.3286666,-124.3323333,PCA 2,6/30/1988,1988,6,Spring,Corliss,,At Sea,39,1SPG,47.3316666,-124.3176666,PCA 2,401,1,0.2506083
PUBTAG2166,9/8/1989,1989,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38003,47,Female,1SPG,Y,47.1465,-124.2708333,PCA 2,7/1/1988,1988,7,Fall,Corliss,,At Sea,47,1SPG,47.4145,-124.3566666,PCA 2,434,0,22.39414274
DOCK6415,7/30/1988,1988,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38048,35,Male,1SPG,Y,47.1388333,-124.262,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,35,1SPG,47.1383333,-124.2623333,PCA 2,25,0,0.041814822
DOCK6561,8/25/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38053,48,Female,1SPG,Y,47.2258333,-124.329,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,48,1SPG,47.2288333,-124.3343333,PCA 2,416,0,0.250758953
PUBTAG2138,8/5/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38075,47,Male,1SPG,Y,47.3303333,-124.328,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,47.3296666,-124.3108333,PCA 2,396,1,0.055693572
PUBTAG2141,8/5/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38101,48,Male,1SPG,Y,47.3303333,-124.328,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,47,1SPG,47.3296666,-124.3108333,PCA 2,396,1,0.055693572
PUBTAG2062,4/18/1989,1989,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,38104,49,Unable to determine,1SPG,Y,46.35,-124.2333333,PCA 1,7/5/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,47.3296666,-124.3108333,PCA 2,287,4,82.07036531
DOCK6783,9/10/1992,1992,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38164,,Unable to determine,1SPG,Y,47.1791666,-124.287,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,34,1SPG,47.3296666,-124.3108333,PCA 2,1528,,12.57774477
DOCK6443,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38202,37,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,36,1SPG,47.3296666,-124.3108333,PCA 2,32,1,0.389836022
PUBTAG2140,8/5/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38284,48,Female,1SPG,Y,47.3303333,-124.328,PCA 2,7/5/1988,1988,7,Fall,Corliss,,At Sea,48,1SPG,47.3296666,-124.3108333,PCA 2,396,0,0.055693572
DOCK6566,9/23/1989,1989,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38369,42,Female,1SPG,Y,46.9778333,-124.3161666,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.2273333,-124.3286666,PCA 2,444,-1,20.8699538
DOCK6435,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38429,44,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6434,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38436,44,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.3346666,-124.3266666,PCA 2,31,1,0.807511639
DOCK6433,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38437,45,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,1,0.807511639
DOCK6430,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38441,45,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,1,0.807511639
DOCK6428,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38450,43,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
PUBTAG2414,9/1/1991,1991,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38479,,,1SPG,Y,47.3166666,-124.3166666,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,27,1SPG,47.3166666,-124.3235,PCA 2,1152,,0
DOCK6437,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38483,,Unable to determine,1SPG,Y,47.3288333,-124.337,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,48,1SPG,47.3166666,-124.3235,PCA 2,31,,1.016402743
PUBTAG2525,7/31/1993,1993,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38485,,,1SPG,Y,47.3166666,-124.3166666,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,39,1SPG,47.3166666,-124.3235,PCA 2,1851,,0
DOCK6454,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38496,35,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,40,1SPG,47.3346666,-124.3266666,PCA 2,31,-5,0.807511639
DOCK6452,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38498,40,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,34,1SPG,47.3346666,-124.3266666,PCA 2,31,6,0.807511639
DOCK6549,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38521,44,Female,1SPG,Y,47.3293333,-124.331,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,42,1SPG,47.3346666,-124.3266666,PCA 2,395,2,0.445518306
DOCK6541,7/28/1989,1989,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38528,39,Male,1SPG,Y,47.2443333,-124.3833333,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,37,1SPG,47.3346666,-124.3266666,PCA 2,387,2,7.547884454
DOCK6552,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38555,43,Male,1SPG,Y,47.3136666,-124.3298333,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,42,1SPG,47.3346666,-124.3266666,PCA 2,395,1,1.754319653
DOCK6447,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38559,45,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6445,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38562,44,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6444,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38563,44,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6442,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38565,43,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6440,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38568,44,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.3346666,-124.3266666,PCA 2,31,1,0.807511639
DOCK6439,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38570,48,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,48,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6550,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38583,51,Female,1SPG,Y,47.3136666,-124.3293333,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,50,1SPG,47.3346666,-124.3266666,PCA 2,395,1,1.754319653
DOCK6548,8/5/1989,1989,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38585,43,Male,1SPG,Y,47.3293333,-124.331,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,42,1SPG,47.3346666,-124.3266666,PCA 2,395,1,0.445518306
PUBTAG2554,7/14/1994,1994,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38604,,Unable to determine,1SPG,Y,47.2916666,-124.32,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,47.3346666,-124.3266666,PCA 2,2199,,3.592409191
PUBTAG2116,7/12/1989,1989,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,38610,41,Male,1SPG,Y,47.1295,-124.2608333,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,40,1SPG,47.3346666,-124.3266666,PCA 2,371,1,17.14863009
DOCK6436,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38659,39,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,39,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6776,7/27/1992,1992,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38718,46,Unable to determine,1SPG,Y,47.1276666,-124.2898333,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,8,1SPG,47.3346666,-124.3266666,PCA 2,1482,38,17.30196525
DOCK6431,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38719,41,Female,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,41,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6523,6/25/1989,1989,6,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38773,45,Male,1SPG,Y,47.1328333,-124.2805,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,47.3346666,-124.3266666,PCA 2,354,-1,16.86985601
DOCK6427,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38882,43,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
DOCK6426,8/6/1988,1988,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,38890,44,Male,1SPG,Y,47.325,-124.3125,PCA 2,7/6/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,47.3346666,-124.3266666,PCA 2,31,0,0.807511639
PUBTAG2321,6/11/1991,1991,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,39183,,,1SPG,Y,46.9755,-124.2748333,PCA 2,7/8/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,47.8028333,-124.545,PCA 3,1068,,69.08738793
PUBTAG2292,9/20/1990,1990,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39209,,,1SPG,Y,47.8166666,-124.55,PCA 3,7/8/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.8028333,-124.545,PCA 3,804,,1.152337264
PUBTAG2291,9/20/1990,1990,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39268,,,1SPG,Y,47.8166666,-124.55,PCA 3,7/8/1988,1988,7,Fall,Corliss,,At Sea,38,1SPG,47.8028333,-124.545,PCA 3,804,,1.152337264
DOCK6682,5/31/1991,1991,5,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39363,,Unable to determine,1SPG,Y,47.777,-124.5256666,PCA 3,7/8/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.7893333,-124.526,PCA 3,1057,,1.027545084
DOCK6683,5/31/1991,1991,5,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39442,42,Unable to determine,1SPG,Y,47.777,-124.5256666,PCA 3,7/8/1988,1988,7,Fall,Corliss,,At Sea,33,1SPG,47.7893333,-124.526,PCA 3,1057,9,1.027545084
PUBTAG2163,9/2/1989,1989,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39493,41,Female,1SPG,Y,47.22,-124.3156666,PCA 2,7/8/1988,1988,7,Fall,Corliss,,At Sea,38,1SPG,47.7893333,-124.526,PCA 3,421,3,47.5110304
DOCK6782,8/31/1992,1992,8,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,395,,,1SPG,Y,,,,6/8/1982,1982,6,Spring,Corliss,,At Sea,35,1SPGOTC,47.449,-124.4135,PCA 2,3737,,
PUBTAG2297,9/27/1990,1990,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39515,,,1SPG,Y,47.1286666,-124.2906666,PCA 2,7/8/1988,1988,7,Fall,Corliss,,At Sea,35,1SPG,47.7893333,-124.526,PCA 3,811,,55.14744589
DOCK6508,5/24/1989,1989,5,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39524,49,Female,1SPG,Y,47.011,-124.3035,PCA 2,7/8/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,47.7893333,-124.526,PCA 3,320,3,64.99151008
PUBTAG2519,7/15/1993,1993,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39692,,,1SPG,Y,47.8285,-124.5361666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,38,1SPG,47.835,-124.5521666,PCA 3,1832,,0.541391036
PUBTAG2290,9/20/1990,1990,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39703,,,1SPG,Y,47.8166666,-124.55,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,28,1SPG,47.835,-124.5521666,PCA 3,803,,1.527058976
PUBTAG2326,6/22/1991,1991,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,39749,40,,1SPG,Y,48.0833333,-124.7166666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,30,1SPG,47.8568333,-124.5135,PCA 3,1078,10,18.85004646
DOCK6592,7/2/1990,1990,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39823,,Unable to determine,1SPG,Y,47.8,-124.5833333,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,38,1SPG,47.8568333,-124.5135,PCA 3,723,,4.733790679
PUBTAG2037,8/26/1988,1988,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,39879,43,Unable to determine,1SPG,Y,48.0333333,-124.7166666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,48.0238333,-124.7358333,PCA 3,48,-2,0.790348936
DOCK6758,6/28/1992,1992,6,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39922,35,Unable to determine,1SPG,Y,47.8166666,-124.6,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,27,1SPG,47.8568333,-124.5135,PCA 3,1450,8,3.345423591
DOCK6671,9/10/1990,1990,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,39983,40,Unable to determine,1SPG,Y,46.9755,-124.2748333,PCA 2,7/9/1988,1988,7,Fall,Corliss,,At Sea,34,1SPG,47.8568333,-124.5135,PCA 3,793,6,73.58495347
PUBTAG2015,7/16/1988,1988,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40019,51,Male,1SPG,Y,48.1683333,-124.7326666,PCA 4,7/9/1988,1988,7,Fall,Corliss,,At Sea,51,1SPG,48.0238333,-124.7358333,PCA 3,7,0,12.01684432
PUBTAG2319,6/3/1991,1991,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,40044,,,1SPG,Y,47.1251666,-124.2975,PCA 2,7/9/1988,1988,7,Fall,Corliss,,At Sea,37,1SPG,48.0371666,-124.714,PCA 3,1059,,76.07177446
DOCK6750,6/21/1992,1992,6,Spring,,,Dockside Encounter,BLCK,BLACK ROCKFISH,40059,,Unable to determine,1SPG,Y,47.1166666,-124.3,PCA 2,7/9/1988,1988,7,Fall,Corliss,,At Sea,29,1SPG,48.0371666,-124.714,PCA 3,1443,,76.78266455
PUBTAG2552,7/7/1994,1994,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40070,,Unable to determine,1SPG,Y,46.2916666,-124.2916666,PCA 1,7/9/1988,1988,7,Fall,Corliss,,At Sea,8,1SPG,48.0278333,-124.7085,PCA 3,2189,,145.1681801
PUBTAG2353,7/16/1991,1991,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40075,30,,1SPG,Y,48.1166666,-124.7166666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,50,1SPG,48.0278333,-124.7085,PCA 3,1102,-20,7.388553388
PUBTAG2305,4/4/1991,1991,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,40076,,,1SPG,Y,48.02783,-124.7085,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,42,1SPG,48.0278333,-124.7085,PCA 3,999,,0.000274543
PUBTAG2330,6/28/1991,1991,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,40134,,,1SPG,Y,48.0333333,-124.6916666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,48.0278333,-124.7085,PCA 3,1084,,0.457565053
PUBTAG2558,7/15/1994,1994,7,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40156,,Unable to determine,1SPG,Y,47.1833333,-124.3166666,PCA 2,7/9/1988,1988,7,Fall,Corliss,,At Sea,31,1SPG,48.0278333,-124.7085,PCA 3,2197,,70.43155375
PUBTAG2067,5/22/1989,1989,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,40177,,Unable to determine,1SPG,Y,48.3833333,-124.5833333,PCA 4,7/9/1988,1988,7,Fall,Corliss,,At Sea,44,1SPG,48.0278333,-124.7085,PCA 3,317,,29.54481093
PUBTAG2460,8/24/1992,1992,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40186,44,,1SPG,Y,47.7,-124.5,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,39,1SPG,48.0278333,-124.7085,PCA 3,1507,5,27.30032091
PUBTAG2279,9/6/1990,1990,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40194,44,,1SPG,Y,46.3166666,-124.1583333,PCA 1,7/9/1988,1988,7,Fall,Corliss,,At Sea,37,1SPG,48.0278333,-124.7085,PCA 3,789,7,143.067632
PUBTAG2462,8/25/1992,1992,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40214,43,,1SPG,Y,48.0333333,-124.7166666,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,31,1SPG,48.0278333,-124.7085,PCA 3,1508,12,0.457565053
PUBTAG2304,4/3/1991,1991,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,40250,,,1SPG,Y,48.02783,-124.7085,PCA 3,7/9/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,48.0278333,-124.7085,PCA 3,998,,0.000274543
PUBTAG2186,10/17/1989,1989,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40386,,Unable to determine,1SPG,Y,47.7,-124.466,PCA 3,7/10/1988,1988,7,Fall,Corliss,,At Sea,42,1SPG,47.7011666,-124.4761666,PCA 3,464,,0.097242032
PUBTAG2058,10/15/1988,1988,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40389,,Unable to determine,1SPG,Y,47.694,-124.4688333,PCA 3,7/10/1988,1988,7,Fall,Corliss,,At Sea,43,1SPG,47.7011666,-124.4761666,PCA 3,97,,0.597383004
PUBTAG2057,10/15/1988,1988,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40397,,Unable to determine,1SPG,Y,47.694,-124.4688333,PCA 3,7/10/1988,1988,7,Fall,Corliss,,At Sea,38,1SPG,47.7011666,-124.4761666,PCA 3,97,,0.597383004
PUBTAG2144,8/6/1989,1989,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40401,,Unable to determine,1SPG,Y,47.7,-124.4666666,PCA 3,7/10/1988,1988,7,Fall,Corliss,,At Sea,48,1SPG,47.7011666,-124.4761666,PCA 3,392,,0.097242032
DOCK6733,9/14/1991,1991,9,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,40420,,Unable to determine,1SPG,Y,47.3166666,-124.3,PCA 2,7/10/1988,1988,7,Fall,Corliss,,At Sea,32,1SPG,47.7011666,-124.4761666,PCA 3,1161,,32.08595475
PUBTAG2054,10/7/1988,1988,10,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40429,,Unable to determine,1SPG,Y,47.694,-124.4688333,PCA 3,7/10/1988,1988,7,Fall,Corliss,,At Sea,46,1SPG,47.7011666,-124.4761666,PCA 3,89,,0.597383004
PUBTAG2393,8/21/1991,1991,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40476,35,Female,1SPG,Y,46.3166666,-124.3166666,PCA 1,7/10/1988,1988,7,Fall,Corliss,,At Sea,28,1SPG,47.6788333,-124.4803333,PCA 3,1137,7,114.0068552
PUBTAG2383,8/15/1991,1991,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,40679,,,1SPG,Y,47.323,-124.3286666,PCA 2,7/10/1988,1988,7,Fall,Corliss,,At Sea,37,1SPG,47.7546666,-124.4828333,PCA 3,1131,,36.01559775
DOCK6531,7/9/1989,1989,7,Fall,,,Dockside Encounter,BLCK,BLACK ROCKFISH,40926,47,Female,1SPG,Y,46.9755,-124.2748333,PCA 2,7/10/1988,1988,7,Fall,Corliss,,At Sea,45,1SPG,47.7546666,-124.4828333,PCA 3,364,2,65.07444388
