EncounterCode,RecoverDate,RecoverYear,RecoverMonth,RecoverSeason,RecoverVessel,RecoverProjectName,RecoverMethod,SpeciesCode,CommonName,TagCode,RecoverLength,SexDescription,RecoverTagTypeCode,RecoverMortality,RecoverLatitude,RecoverLongitude,RecoverPunchCardArea,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseSeason,ReleaseVessel,ReleaseProjectName,ReleaseMethod,ReleaseLengthCM,ReleaseTagTypeCode,ReleaseLatitude,ReleaseLongitude,ReleasePunchCardArea,DaysAtLiberty,GrowthCM,MovementMiles
PUBTAG1352,9/13/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11650,49,Male,1SPG,Y,47.1291666,-124.2666666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,50,1SPG,47.1415,-124.4265,PCA 2,396,-1,1.03145742
PUBTAG1342,8/25/1982,1982,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11661,49,Male,RSPG,Y,47.2833333,-124.3333333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,49,2SPG,47.1415,-124.4265,PCA 2,377,0,11.85635139
PUBTAG1354,9/20/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11663,,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,42,1SPG,47.1415,-124.4265,PCA 2,403,,69.14432632
PUBTAG1529,3/1/1985,1985,3,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11701,46,Unable to determine,1SPG,Y,46.825,-124.2666666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,40,1SPG,47.1415,-124.4265,PCA 2,1296,6,26.49271915
PUBTAG1396,5/14/1983,1983,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11713,47,Male,1SPG,Y,47.1663333,-124.3,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,46,1SPG,47.1415,-124.4265,PCA 2,639,1,2.076614195
PUBTAG1449,9/19/1983,1983,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11726,41,Male,1SPG,Y,46.9666666,-124.3,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,41,1SPG,47.1415,-124.4265,PCA 2,767,0,14.62845596
PUBTAG1336,8/3/1982,1982,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11738,47,Unable to determine,1SPG,Y,46.1416666,-124.1916666,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,46,1SPG,47.1415,-124.4265,PCA 2,355,1,83.85636358
PUBTAG1310,5/4/1982,1982,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11744,,Unable to determine,1SPG,Y,47.1416666,-124.2666666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,47,1SPG,47.1415,-124.4265,PCA 2,264,,0.013932455
PUBTAG1495,5/9/1984,1984,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11750,40,Male,1SPG,Y,46.9166666,-124.2666666,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,36,1SPG,47.1415,-124.4265,PCA 2,1000,4,18.81473259
PUBTAG1484,4/18/1984,1984,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,11761,51,Unable to determine,1SPG,Y,46.3166666,-124.1583333,PCA 1,8/13/1981,1981,8,Fall,Corliss,,At Sea,46,1SPG,47.1415,-124.4265,PCA 2,979,5,69.14432632
PUBTAG1372,4/9/1983,1983,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,1184,47,Unable to determine,1SPG,Y,47.45,-124.4,PCA 2,6/8/1982,1982,6,Spring,Corliss,,At Sea,47,1SPG,47.449,-124.4135,PCA 2,305,0,0.083477804
PUBTAG1353,9/14/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,11853,,Unable to determine,1SPG,Y,47.3,-124.3166666,PCA 2,9/2/1981,1981,9,Fall,Corliss,,At Sea,38,1SPG,47.2503333,-124.3333333,PCA 2,377,,4.150296297
PUBTAG1351,9/5/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,12132,41,Male,1SPG,Y,47.1166666,-124.2333333,PCA 2,7/1/1981,1981,7,Fall,Unknown,,At Sea,41,1SPGOTC,47.2258333,-124.3338333,PCA 2,431,0,9.127829302
PUBTAG2425,4/23/1992,1992,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,1239,45,,RSPG,Y,48,-124.7,PCA 3,6/8/1982,1982,6,Spring,Corliss,,At Sea,46,2SPG,47.449,-124.4135,PCA 2,3607,-1,45.92191598
PUBTAG1350,9/5/1982,1982,9,Fall,,,Public Return,BLCK,BLACK ROCKFISH,12563,39,Female,1SPG,Y,47.3,-124.3166666,PCA 2,9/2/1981,1981,9,Fall,Corliss,,At Sea,39,1SPG,47.2503333,-124.3333333,PCA 2,368,0,4.150296297
PUBTAG1416,6/23/1983,1983,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,12670,,Unable to determine,1SPG,Y,48.4,-124.7166666,PCA 4,9/21/1982,1982,9,Fall,Corliss,,At Sea,48,1SPG,48.393,-124.728,PCA 4,275,,0.581101476
PUBTAG1368,3/3/1983,1983,3,Spring,,,Public Return,BLCK,BLACK ROCKFISH,12730,50,Unable to determine,LSPG,Y,48.2666666,-124.7101667,PCA 4,9/21/1982,1982,9,Fall,Corliss,,At Sea,49,2SPG,48.4068333,-124.7388333,PCA 4,163,1,11.63996489
PUBTAG1406,6/8/1983,1983,6,Spring,,,Public Return,BLCK,BLACK ROCKFISH,12935,,Unable to determine,1SPG,Y,48.4,-124.7166666,PCA 4,9/21/1982,1982,9,Fall,Corliss,,At Sea,44,1SPG,48.393,-124.728,PCA 4,260,,0.581101476
PUBTAG1438,8/7/1983,1983,8,Fall,,,Public Return,BLCK,BLACK ROCKFISH,12956,,Unable to determine,1SPG,Y,45.9416666,-124,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,36,1SPG,45.9238333,-124.0233333,PCA 1,74,,1.501864066
PUBTAG1478,4/17/1984,1984,4,Spring,,,Public Return,BLCK,BLACK ROCKFISH,12974,43,Unable to determine,1SPG,Y,46.3166666,-124.2333333,PCA 1,5/25/1983,1983,5,Spring,Corliss,,At Sea,41,1SPG,45.9238333,-124.0233333,PCA 1,328,2,33.04728734
PUBTAG1398,5/15/1983,1983,5,Spring,,,Public Return,BLCK,BLACK ROCKFISH,13056,48,Female,1SPG,Y,46.7811666,-124.2433333,PCA 2,8/13/1981,1981,8,Fall,Corliss,,At Sea,44,1SPG,47.1415,-124.4265,PCA 2,640,4,30.16564034
